统计月度,AQI,PM2.5,PM10,SO2,CO,NO2,O3,平均气温,平均湿度
14-Jan,120,90.4,116.6,22.1,1.37,73.7,91.4,13,70
14-Feb,63,45.9,60.7,12.1,0.97,44.1,59.5,13,79
14-Mar,77,55.4,79.5,17.5,1.13,57.5,62.5,17.3,83
14-Apr,69,48.6,69.3,18.6,0.97,53.6,78.6,22.6,83
14-May,52,32.7,49.5,15.8,0.96,42.9,65.8,24.9,88
14-Jun,71,34.2,53,15.2,0.89,38.2,109.3,28.2,82
14-Jul,84,34.5,55.1,16.3,0.76,35,132.9,28.9,80
14-Aug,76,31.2,49,15.4,0.78,34.1,123.4,28,82
14-Sep,75,35.5,56,15.7,0.84,34.5,123.7,27.5,79
14-Oct,96,58.7,85.2,17.1,0.95,49,148.4,24,72
14-Nov,70,49.7,67.4,16.3,1.08,48.3,82.6,20.1,78
14-Dec,76,55.5,82,19,1.23,41.3,60.3,12.8,67
15-Jan,81,59.8,85.5,19.8,1.26,64.7,69.7,13.6,73
15-Feb,75,55,75,12,1.08,49.4,67.1,16.2,75
15-Mar,49,33.1,49.4,10,1.02,45.1,39.1,18.5,83
15-Apr,71,38.2,59.5,13.6,1.04,45.1,98.7,21.9,77
15-May,47,26.6,41.7,12.1,0.85,42.2,72.2,25.9,85
15-Jun,52,20.5,36.4,10.6,0.74,31.3,93.5,28.5,79
15-Jul,65,27.8,45.3,9.3,0.81,32.3,104,28.1,77
15-Aug,89,38.5,60.1,12.8,0.88,38.7,130.6,27.9,78
15-Sep,80,41.5,65.3,11.2,0.9,43.5,117.5,26.9,79
15-Oct,71,44.7,77.1,11.6,0.92,52.5,94.8,23.6,76
15-Nov,65,38.1,67.4,13.8,1.01,50.2,66.2,21,78
15-Dec,69,41.5,64,11.7,1.09,50.4,38.9,14.9,77
16-Jan,65,34.9,54.5,8.6,1.1,49.2,36.9,13.3,80
16-Feb,58,36.4,53.4,9.4,0.87,40.4,61.9,12.5,74
16-Mar,78,47.5,71.3,13.5,1.07,60.9,64.6,16.5,82
16-Apr,66,37.9,54.7,13.2,1.05,50.5,47.1,23.4,86
16-May,65,30.6,50.6,10.7,0.93,37.8,95.8,25.8,84
16-Jun,60,23.4,41,9.3,0.85,32.7,97.3,28,85
16-Jul,74,26.6,45.2,11.8,0.88,33.4,112.7,28.9,83
16-Aug,82,36.7,56.1,14.3,0.89,40,125.5,27.9,86
16-Sep,76,35.6,56.8,12,0.9,41.2,107.4,26.7,84
16-Oct,51,30.1,48.5,10.5,0.89,35.5,79.1,25,81
16-Nov,76,40.9,69.3,14.2,1.02,61.5,77.9,18.9,83
16-Dec,86,50.9,83.2,14.4,1.1,71.2,84.1,16.2,73
17-Jan,82,54.2,77.9,11.5,1.2,64.8,76.9,15.4,81
17-Feb,75,43.7,64,12.8,0.9,59.1,90,15,75
17-Mar,81,41.5,69.2,12,0.95,65.2,56.8,17.9,84
17-Apr,83,34.3,61.5,12.3,0.82,57.9,88.5,21.6,83
17-May,89,33.7,57.6,12.3,0.85,52.1,124.9,25.1,84
17-Jun,56,19,36,10,0.73,39,82,28.2,85
17-Jul,65,21,37,12,0.77,42,91,27.9,85
17-Aug,70,23,41,11,0.77,39,110,28.7,82
17-Sep,94,34,56,12,0.93,51,135,27.9,85
17-Oct,65,32,51,11,0.85,42,109,23.6,75
17-Nov,68,39,61,11,0.95,51,68,19.3,78
17-Dec,80,51,77,16,0.97,65,80,14.4,66
18-Jan,96,62,84,14,1.13,75,66,13.5,80
18-Feb,71,44,58,11,0.78,45,84,14.1,71
18-Mar,85,43,65,13,0.84,61,106,19.4,80
18-Apr,80,40,69,12,0.82,54,96,21.8,83
18-May,79,25,44,10,0.7,40,124,27.6,81
18-Jun,74,22,39,8,0.79,40,109,27.4,85
18-Jul,57,17,32,7,0.64,33,90,28.5,84
18-Aug,74,26,44,8,0.86,45,114,27.9,87
