"Period","Date","Actual","Predicted","Error","RelativeError","Model"
1,"2023-01",94,91.71,2.29,2.43,"ARIMA(1,0,0)"
2,"2023-02",83,85.07,-2.07,2.49,"ARIMA(1,0,0)"
3,"2023-03",75,84.98,-9.98,13.3,"ARIMA(1,0,0)"
4,"2023-04",71,74.07,-3.07,4.33,"ARIMA(1,0,0)"
5,"2023-05",90,82.05,7.95,8.84,"ARIMA(1,0,0)"
6,"2023-06",99,90.63,8.37,8.46,"ARIMA(0,0,1)"
7,"2023-07",64,67.22,-3.22,5.03,"ARIMA(0,0,1)"
8,"2023-08",68,66.01,1.99,2.93,"ARIMA(0,0,1)"
9,"2023-09",54,54.76,-0.76,1.41,"ARIMA(0,0,1)"
10,"2023-10",60,65.57,-5.57,9.29,"ARIMA(0,0,1)"
11,"2023-11",61,57.17,3.83,6.28,"ARIMA(0,0,2)"
12,"2023-12",87,84.91,2.09,2.4,"ARIMA(0,0,1)"
